avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
7.82,1663732921.930321,7.62,171623,22871.0,79,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",The Voyages of Marco Polo,boardgame,2015
7.72,1663732921.930321,7.613,68448,94582.0,80,Draft cards to develop your ancient civilization and build its Wonder of the World.,7 Wonders,boardgame,2010
8.52,1663732921.930321,7.611,284378,4470.0,81,EV-factory workers optimize and innovate to stand out at the big board meeting.,Kanban EV,boardgame,2020
7.74,1663732921.930321,7.61,110327,50944.0,82,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,Lords of Waterdeep,boardgame,2012
7.83,1663732921.930321,7.601,62219,19416.0,83,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",Dominant Species,boardgame,2010
8.19,1663732921.930321,7.589,264220,9688.0,84,"Exploration, battle and diplomacy in a dark Arthurian realm.",Tainted Grail: The Fall of Avalon,boardgame,2019
8.43,1663732921.930321,7.589,255984,5070.0,85,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",Sleeping Gods,boardgame,2021
7.79,1663732921.930321,7.578,236457,23339.0,86,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,Architects of the West Kingdom,boardgame,2018
7.74,1663732921.930321,7.568,93,25601.0,87,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",El Grande,boardgame,1995
7.76,1663732921.930321,7.564,122515,21047.0,88,Compete in a unique auction system to build the most prosperous village.,Keyflower,boardgame,2012
7.74,1663732921.930321,7.558,18602,28056.0,89,Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.,Caylus,boardgame,2005
8.51,1663732921.930321,7.554,341169,4064.0,90,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,Great Western Trail (Second Edition),boardgame,2021
7.73,1663732921.930321,7.554,37111,34804.0,91,How can the human race survive when you don't know who is actually human?,Battlestar Galactica: The Board Game,boardgame,2008
7.87,1663732921.930321,7.544,172386,12254.0,92,Acquire shares of unique companies and propagate their trading posts to rake in cash.,Mombasa,boardgame,2015
8.0,1663732921.930321,7.54,317985,8567.0,93,Collectively develop a tech tree to fuel the automation and colonization of space.,Beyond the Sun,boardgame,2020
7.7,1663732921.930321,7.54,40834,32075.0,94,"Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.",Dominion: Intrigue,boardgame,2009
7.74,1663732921.930321,7.54,73439,21295.0,95,"Defend the city and rise to power by influencing the merchants, knights and clergy.",Troyes,boardgame,2010
7.76,1663732921.930321,7.537,170042,20226.0,96,Gather your Viking crew in order to plunder seas and lands for glory!,Raiders of the North Sea,boardgame,2015
7.97,1663732921.930321,7.536,269385,13063.0,97,"Heroes explore Middle-earth, working together to combat evil in an epic campaign.",The Lord of the Rings: Journeys in Middle-Earth,boardgame,2019
7.81,1663732921.930321,7.535,12493,18897.0,98,"Epic empire-building game of interstellar conflict, trade, and struggle for power.",Twilight Imperium: Third Edition,boardgame,2005
7.77,1663732921.930321,7.534,146021,33117.0,99,An unknown Elder God approaches the world—and you must solve mysteries to stop it.,Eldritch Horror,boardgame,2013
7.87,1663732921.930321,7.529,203993,11938.0,100,Avoid excommunication and lead your family to power during the Italian Renaissance.,Lorenzo il Magnifico,boardgame,2016
7.7,1663732921.930321,7.528,42,27115.0,101,Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.,Tigris & Euphrates,boardgame,1997
7.78,1663732921.930321,7.523,225694,16724.0,102,Decipher your opponents' code before they decipher yours. Don't get caught.,Decrypto,boardgame,2018
7.75,1663732921.930321,7.519,144733,16620.0,103,"Acquire locomotives & industry, build track, and hire the best engineers in Russia.",Russian Railroads,boardgame,2013
7.82,1663732921.930321,7.517,155821,16212.0,104,Claim the crown through merit and wisdom in this Celtic island struggle.,Inis,boardgame,2016
7.62,1663732921.930321,7.516,163412,56609.0,105,Piece together a quilt and leave no holes to become the button master.,Patchwork,boardgame,2014
7.83,1663732921.930321,7.514,281259,15257.0,106,Rescue as many cats as you can before Lord Vesh comes to destroy their home.,The Isle of Cats,boardgame,2019
7.81,1663732921.930321,7.513,205896,18862.0,107,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",Rising Sun,boardgame,2018
8.14,1663732921.930321,7.512,253344,7293.0,108,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,Cthulhu: Death May Die,boardgame,2019
7.75,1663732921.930321,7.505,102680,16261.0,109,Manage and rule all aspects of Ancient Rome with a clever action selection mancala.,Trajan,boardgame,2011
7.96,1663732921.930321,7.499,163068,8689.0,110,Magicians perform dazzling tricks for money and fame in a Victorian steampunk world.,Trickerion: Legends of Illusion,boardgame,2015
7.83,1663732921.930321,7.493,233371,12037.0,111,Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.,Clank! In! Space!: A Deck-Building Adventure,boardgame,2017
8.34,1663732921.930321,7.493,218417,4641.0,112,War Eternal is a standalone game compatible with the deck building game Aeon's End.,Aeon's End: War Eternal,boardgame,2017
7.61,1663732921.930321,7.491,36218,84454.0,113,Acquire the most valuable lands by building your deck with treasure and power cards.,Dominion,boardgame,2008
7.58,1663732921.930321,7.487,178900,79499.0,114,Give your team clever one-word clues to help them spot their agents in the field.,Codenames,boardgame,2015
7.63,1663732921.930321,7.482,132531,29470.0,115,"Utilize your dice populace to develop technologies, settle worlds, and ship goods.",Roll for the Galaxy,boardgame,2014
7.91,1663732921.930321,7.479,198928,9404.0,116,"Travel from Barcelona to Lisboa to cure malaria, typhus, yellow fever, and cholera.",Pandemic: Iberia,boardgame,2016
7.75,1663732921.930321,7.475,172287,15629.0,117,"Gain glory by defending a Viking harbor town against trolls, draugr and other beasts.",Champions of Midgard,boardgame,2015
7.83,1663732921.930321,7.474,196340,10478.0,118,Claim your fame as the dominant merchant in the Meiji period of Yokohama.,Yokohama,boardgame,2016
8.08,1663732921.930321,7.473,279537,6124.0,119,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",The Search for Planet X,boardgame,2020
8.15,1663732921.930321,7.472,175640,5549.0,120,The strategic craft of fine winemaking.,Vinhos: Deluxe Edition,boardgame,2016
7.68,1663732921.930321,7.47,263918,21201.0,121,Explore lands on behalf of the queen and draw the most proficient maps to earn favor.,Cartographers,boardgame,2019
7.97,1663732921.930321,7.467,175155,8406.0,122,"Assemble your armies, devise your strategy, and wage war across the Herakon Cluster.",Forbidden Stars,boardgame,2015
7.57,1663732921.930321,7.467,30549,114133.0,123,Your team of experts must prevent the world from succumbing to a viral pandemic.,Pandemic,boardgame,2008
7.74,1663732921.930321,7.467,266524,17070.0,124,"Hike through National Parks tiles, collecting memories and admiring gorgeous scenery.",PARKS,boardgame,2019
7.72,1663732921.930321,7.466,262712,16934.0,125,"Rival mages create artifacts, vying for places of power and ancient monuments.",Res Arcana,boardgame,2019
7.68,1663732921.930321,7.458,2511,19427.0,126,The game is afoot as you and your irregular friends search Victorian London for clues,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,boardgame,1982
7.69,1663732921.930321,7.454,127023,17917.0,127,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,Kemet,boardgame,2012
7.81,1663732921.930321,7.452,4098,9956.0,128,"Outperform your railroad rivals with shares, auctions, trackbuilding, and deliveries.",Age of Steam,boardgame,2002
8.3,1663732921.930321,7.45,231733,4643.0,129,"Renovate an estate, manage servants, and pursue romance in Victorian England.",Obsession,boardgame,2018
7.71,1663732921.930321,7.444,43015,13582.0,130,Build networks of merchants along the roads and market towns of the Hanseatic League.,Hansa Teutonica,boardgame,2009
7.86,1663732921.930321,7.441,274364,8705.0,131,Hide or expose the greatest American political scandal in a tug of war for evidence.,Watergate,boardgame,2019
7.64,1663732921.930321,7.441,118048,19253.0,132,A contest between two nomadic tribes along desert trade routes.,Targi,boardgame,2012
7.95,1663732921.930321,7.441,233398,7967.0,133,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",Endeavor: Age of Sail,boardgame,2018
7.66,1663732921.930321,7.438,161970,20644.0,134,Showcase your alchemical know-how by publishing theories in this app-driven game.,Alchemists,boardgame,2014
7.77,1663732921.930321,7.432,146652,12445.0,135,"In space, no one can hear you build a deck of marine & weapon cards to fight aliens.",Legendary Encounters: An Alien Deck Building Game,boardgame,2014
7.57,1663732921.930321,7.432,147020,40632.0,136,Compete head-to-head to create the most powerful deck of spaceships and bases.,Star Realms,boardgame,2014
7.76,1663732921.930321,7.431,271324,12525.0,137,"Draft yourself the ‘perfect’ dystopia, complete projects and churn out resources.",It's a Wonderful World,boardgame,2019
8.31,1663732921.930321,7.43,256916,4016.0,138,Traders compete to build the greatest empire in the Roman Mediterranean.,Concordia Venus,boardgame,2018
7.54,1663732921.930321,7.427,34635,49001.0,139,Travel to the time of hunters and gatherers in this classic game of tools and tribes.,Stone Age,boardgame,2008
7.66,1663732921.930321,7.425,103885,24184.0,140,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,Star Wars: X-Wing Miniatures Game,boardgame,2012
7.64,1663732921.930321,7.423,217372,18288.0,141,Race through a dense South American jungle in pursuit of the legendary city of gold.,The Quest for El Dorado,boardgame,2017
7.54,1663732921.930321,7.417,14996,67033.0,142,Build train routes across Europe in this sequel to the hit family board game.,Ticket to Ride: Europe,boardgame,2005
7.58,1663732921.930321,7.415,233867,24833.0,143,"Design the most appealing 1950s neighborhood, with fences, parks, and swimming pools.",Welcome To...,boardgame,2018
8.02,1663732921.930321,7.411,308765,6034.0,144,Wealthy citizens of medieval Prague organize building projects to gain king's favor.,Praga Caput Regni,boardgame,2020
7.61,1663732921.930321,7.41,254640,19235.0,145,"Give one-word clues so someone can guess one word, but duplicate clues are discarded.",Just One,boardgame,2018
7.56,1663732921.930321,7.409,148949,28543.0,146,Send your assistants through the shops of Istanbul as you race to acquire rubies.,Istanbul,boardgame,2014
7.66,1663732921.930321,7.408,77423,22815.0,147,Guide your fellowship as it embarks on unique adventures in Tolkien's Middle-earth!,The Lord of the Rings: The Card Game,boardgame,2011
7.73,1663732921.930321,7.406,220877,11608.0,148,Manage your dice to build profitable markets and grand monuments in historic India.,Rajas of the Ganges,boardgame,2017
7.6,1663732921.930321,7.401,244522,19763.0,149,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",That's Pretty Clever!,boardgame,2018
7.88,1663732921.930321,7.4,82222,8838.0,150,Pilot your ship to stardom in a massive sci-fi sandbox.,Xia: Legends of a Drift System,boardgame,2014
8.04,1663732921.930321,7.395,283948,5601.0,151,"Travel to cities along the silk road, trading silk, spice, gold & jade along the way.",Marco Polo II: In the Service of the Khan,boardgame,2019
7.72,1663732921.930321,7.394,287954,12046.0,152,You're an artisan working on creating striking patterns within a king's palace.,Azul: Summer Pavilion,boardgame,2019
